Date,Open,High,Low,Close,Adj Close,Volume
2007-07-01,526.599976,586.450012,526.599976,573.599976,512.192139,91750220
2007-07-08,574.099976,625.000000,567.000000,601.049988,536.703613,36524337
2007-07-15,605.700012,664.700012,602.200012,646.799988,577.555725,40045541
2007-07-22,648.000000,679.000000,578.000000,599.700012,535.498169,34016200
2007-07-29,604.900024,617.000000,579.799988,601.849976,537.417847,21357553
2007-08-05,560.000000,614.950012,490.000000,581.900024,519.603638,21467008
2007-08-12,594.000000,607.099976,565.500000,580.799988,518.621521,15151844
2007-08-19,592.000000,614.000000,531.150024,565.000000,504.513000,16823008
2007-08-26,570.049988,629.900024,570.000000,597.500000,533.533569,12652396
2007-09-02,598.049988,644.950012,595.000000,622.500000,555.857117,12860818
2007-09-09,625.000000,669.000000,610.000000,666.849976,595.459167,14900885
2007-09-16,668.799988,779.000000,643.099976,746.450012,666.537476,27744273
2007-09-23,745.000000,789.700012,726.099976,761.349976,681.934082,22701594
2007-09-30,764.950012,904.000000,753.650024,844.750000,756.634827,31969274
2007-10-07,858.549988,949.000000,802.000000,872.049988,781.087158,25173220
2007-10-14,884.400024,933.900024,751.000000,824.900024,738.855286,21604560
2007-10-21,800.000000,919.799988,780.000000,913.000000,817.765686,17104601
2007-10-28,922.000000,999.000000,861.150024,932.000000,834.783875,19929008
2007-11-04,932.000000,959.700012,898.500000,904.900024,810.510681,6441972
2007-11-11,901.049988,957.000000,849.099976,936.000000,840.169556,8621748
2007-11-18,950.000000,969.000000,800.000000,878.000000,788.107788,12557636
2007-11-25,882.000000,955.000000,872.000000,935.000000,839.271851,13140078
2007-12-02,956.200012,1017.299988,902.000000,1014.000000,910.183655,11827223
2007-12-09,1021.000000,1050.000000,990.000000,1022.000000,917.364685,10285593
2007-12-16,1011.000000,1050.000000,925.000000,960.299988,861.981506,7378652
2007-12-23,970.000000,1072.699951,967.000000,1068.000000,958.654785,9331622
2007-12-30,1094.000000,1121.000000,1050.050049,1111.000000,997.252441,6282760
2008-01-06,1025.000000,1209.699951,1025.000000,1198.599976,1075.883789,9462094
2008-01-13,1215.000000,1225.000000,984.099976,999.099976,896.809143,13938683
2008-01-20,1005.000000,1005.000000,700.000000,950.799988,853.454285,12195190
2008-01-27,930.250000,949.000000,783.000000,814.000000,730.660217,13776014
2008-02-03,822.000000,901.000000,793.150024,816.450012,732.859436,12916609
2008-02-10,825.000000,891.799988,754.000000,875.000000,785.414795,15263506
2008-02-17,891.500000,898.400024,801.000000,830.500000,745.470947,6892015
2008-02-24,829.000000,849.900024,771.450012,777.799988,698.166504,8378497
2008-03-02,767.000000,770.000000,640.200012,651.000000,584.348633,13326391
2008-03-09,660.000000,799.000000,591.200012,653.599976,586.682312,30727057
2008-03-16,630.000000,678.000000,600.000000,635.000000,569.986877,14255084
2008-03-23,655.000000,701.849976,580.049988,693.000000,622.048645,19608403
2008-03-30,695.700012,695.700012,602.400024,608.849976,546.514099,21643615
2008-04-06,612.000000,636.000000,595.250000,598.900024,537.582947,15763601
2008-04-13,596.000000,653.799988,585.000000,648.500000,582.104675,11763436
2008-04-20,660.000000,697.000000,646.150024,668.200012,599.787720,15999653
2008-04-27,667.849976,735.000000,665.099976,721.299988,647.451111,14515250
2008-05-04,720.000000,739.000000,625.400024,629.000000,564.601135,25759068
2008-05-11,625.000000,656.799988,601.250000,648.400024,582.014832,19160813
2008-05-18,640.099976,649.500000,606.099976,609.450012,547.052612,16100494
2008-05-25,607.000000,614.900024,582.250000,587.400024,527.260193,15244468
2008-06-01,593.000000,598.000000,515.250000,515.250000,462.497162,20917694
2008-06-08,500.000000,522.299988,470.100006,480.049988,430.901031,38066971
2008-06-15,500.000000,518.900024,452.500000,459.000000,412.006104,17968401
2008-06-22,469.399994,469.399994,418.049988,421.149994,378.031372,22141724
2008-06-29,412.000000,439.000000,350.000000,415.500000,372.959900,36817116
2008-07-06,428.799988,474.799988,401.000000,453.700012,407.248871,32706271
2008-07-13,450.000000,469.899994,385.350006,457.750000,410.884155,24329460
2008-07-20,461.149994,518.900024,442.100006,492.399994,441.986572,23731248
2008-07-27,485.000000,525.000000,450.600006,518.000000,464.965607,26493129
2008-08-03,505.000000,573.000000,501.000000,550.299988,493.958649,28544400
2008-08-10,579.900024,579.900024,498.000000,499.000000,447.910889,16278700
2008-08-17,500.049988,515.000000,471.200012,483.950012,434.401825,15033425
2008-08-24,497.450012,509.850006,460.399994,489.149994,439.069366,17539346
2008-08-31,482.200012,546.049988,476.000000,494.399994,443.781860,18397558
2008-09-07,510.000000,524.000000,461.049988,461.600006,414.339996,22212392
2008-09-14,454.049988,454.700012,366.000000,426.500000,382.833679,36101660
2008-09-21,431.049988,441.000000,368.000000,369.000000,332.910583,33027355
2008-09-28,365.000000,371.700012,325.000000,337.000000,304.040344,30520740
2008-10-05,329.799988,333.000000,279.100006,282.000000,254.419495,31668268
2008-10-12,284.799988,354.700012,278.799988,286.000000,258.028290,34460389
2008-10-19,297.000000,305.000000,194.000000,203.100006,183.236160,32228777
2008-10-26,195.000000,230.500000,154.100006,223.050003,201.234970,28899438
2008-11-02,236.000000,309.799988,227.850006,285.549988,257.622284,52042094
2008-11-09,286.000000,301.350006,233.600006,241.800003,218.151154,32996710
2008-11-16,240.000000,249.899994,180.000000,198.350006,178.950729,50849120
2008-11-23,198.949997,205.000000,184.350006,199.100006,179.627365,40735191
2008-11-30,200.000000,221.449997,167.100006,203.100006,183.236160,75283642
2008-12-07,205.250000,288.049988,205.250000,276.299988,249.276917,88692093
2008-12-14,280.000000,314.700012,239.000000,305.850006,275.936890,80954739
2008-12-21,311.250000,326.000000,273.149994,275.549988,248.600311,60327151
2008-12-28,272.000000,308.350006,260.250000,300.500000,271.110077,56622805
2009-01-04,305.500000,311.500000,144.000000,220.899994,199.295227,83219969
2009-01-11,201.300003,218.899994,184.300003,194.750000,175.702805,65732532
2009-01-18,197.600006,199.699997,156.250000,161.199997,145.434082,50207407
2009-01-25,160.000000,185.800003,156.000000,176.399994,159.147491,52204757
2009-02-01,167.699997,167.699997,124.050003,138.250000,124.728699,119111858
2009-02-08,138.000000,162.250000,137.000000,162.000000,146.155884,80699534
2009-02-15,178.699997,178.699997,141.000000,158.000000,142.547073,88376613
2009-02-22,144.250000,162.699997,144.250000,150.600006,135.870850,67327606
2009-03-01,148.800003,152.399994,134.000000,145.199997,130.998978,37191130
2009-03-08,142.899994,153.449997,135.399994,152.899994,137.945862,30367150
2009-03-15,152.000000,177.500000,152.000000,171.399994,154.636520,71283177
2009-03-22,174.800003,187.000000,162.649994,181.350006,163.613388,84576896
2009-03-29,178.000000,208.800003,160.300003,207.399994,187.115570,57950672
2009-04-05,208.000000,227.000000,189.100006,222.250000,200.513214,57894965
2009-04-12,225.250000,276.799988,222.100006,230.100006,207.595474,82248096
2009-04-19,230.949997,248.800003,216.000000,241.000000,217.429428,80912947
2009-04-26,237.000000,251.949997,222.100006,231.899994,209.219406,39767877
2009-05-03,234.000000,269.500000,225.000000,240.649994,217.113647,118979328
2009-05-10,243.000000,264.899994,190.550003,258.250000,232.992294,105921939
2009-05-17,309.000000,421.700012,290.000000,333.600006,300.972870,126157341
2009-05-24,335.000000,420.350006,332.500000,414.700012,374.140991,96587826
2009-05-31,412.000000,426.799988,376.600006,408.000000,368.096252,82736005
2009-06-07,409.450012,416.899994,344.000000,366.750000,330.880676,79803944
2009-06-14,367.000000,377.450012,308.750000,331.500000,299.078217,81511130
2009-06-21,340.000000,344.399994,304.100006,325.049988,293.259064,71720808
2009-06-28,330.000000,345.500000,305.000000,335.600006,302.777222,72969756
2009-07-05,339.000000,356.899994,271.299988,276.000000,249.006302,86593061
2009-07-12,270.049988,337.850006,259.299988,337.600006,304.581604,68682203
2009-07-19,340.000000,396.750000,333.100006,392.549988,354.157318,77742066
2009-07-26,395.250000,433.700012,388.350006,396.600006,357.811188,87433831
2009-08-02,400.000000,409.100006,365.000000,366.000000,330.204010,61453952
2009-08-09,377.000000,406.750000,350.500000,394.649994,356.051880,62103394
2009-08-16,388.700012,388.700012,362.200012,365.149994,329.437103,10765817
2009-08-23,389.000000,415.000000,352.899994,413.100006,372.697479,49645028
2009-08-30,407.000000,441.950012,394.700012,414.799988,374.231140,68364026
2009-09-06,419.000000,447.299988,394.250000,398.399994,359.435150,73874915
2009-09-13,395.500000,430.500000,387.049988,428.850006,386.907043,54780324
2009-09-20,428.850006,439.200012,409.299988,426.500000,384.786896,41965597
2009-09-27,426.500000,445.500000,423.549988,436.149994,395.336853,28895541
2009-10-04,434.299988,436.000000,401.500000,414.799988,375.984650,48431694
2009-10-11,418.850006,464.000000,417.000000,463.549988,420.172821,39396434
2009-10-18,463.549988,519.900024,444.799988,454.500000,411.969666,50579642
2009-10-25,459.000000,459.000000,367.049988,369.000000,334.470459,68595722
2009-11-01,369.000000,390.799988,331.000000,382.250000,346.480560,50819072
2009-11-08,385.000000,397.700012,360.549988,368.000000,333.563995,73203354
2009-11-15,375.000000,388.899994,356.100006,375.549988,340.407440,54221346
2009-11-22,381.100006,382.700012,325.450012,350.600006,317.792206,54577693
2009-11-29,352.000000,396.000000,348.899994,380.149994,344.577026,55025171
2009-12-06,382.000000,394.399994,365.000000,384.000000,348.066803,43317265
2009-12-13,383.000000,387.500000,355.500000,355.600006,322.324402,58385648
2009-12-20,356.899994,376.000000,349.549988,369.450012,334.878357,30079822
2009-12-27,369.450012,374.500000,359.399994,362.049988,328.170776,19203375
2010-01-03,361.000000,393.799988,361.000000,392.450012,355.726074,42280422
2010-01-10,395.799988,403.500000,375.000000,386.299988,350.151581,39661997
2010-01-17,384.500000,392.000000,378.100006,378.500000,343.081512,11422954
2010-01-24,378.500000,378.500000,378.500000,378.500000,343.081512,0
2010-01-31,378.500000,378.500000,301.149994,308.700012,279.813171,9125392
2010-02-07,315.049988,318.299988,300.049988,307.000000,278.272125,37230312
2010-02-14,310.000000,317.600006,288.299988,291.100006,263.859985,42085494
2010-02-21,295.250000,315.000000,281.600006,298.450012,270.522217,55267178
2010-02-28,299.000000,318.950012,287.200012,316.750000,287.109741,50221096
2010-03-07,320.000000,325.799988,307.600006,310.750000,281.671265,36172717
2010-03-14,308.000000,319.899994,305.000000,312.950012,283.665405,29875522
2010-03-21,306.000000,308.899994,291.100006,294.649994,267.077820,29853247
2010-03-28,295.000000,316.000000,294.600006,311.600006,282.441681,36626503
2010-04-04,312.000000,345.000000,312.000000,333.000000,301.839233,39396622
2010-04-11,334.000000,345.399994,324.100006,330.250000,299.346466,30316295
2010-04-18,325.000000,336.000000,313.500000,332.299988,301.204681,36325501
2010-04-25,335.000000,340.000000,304.500000,310.700012,281.625916,35498524
2010-05-02,307.000000,312.750000,282.649994,284.649994,258.013580,31174130
2010-05-09,290.000000,309.950012,289.500000,298.549988,270.612854,32064578
2010-05-16,294.000000,297.000000,260.950012,269.000000,243.828049,43429808
2010-05-23,272.000000,281.549988,254.750000,280.049988,253.844009,33575203
2010-05-30,278.799988,285.600006,266.049988,281.750000,255.384964,28324945
2010-06-06,272.000000,273.899994,254.500000,262.399994,237.845627,35629134
2010-06-13,265.000000,284.799988,259.500000,282.649994,256.200714,38609576
2010-06-20,284.000000,293.899994,282.399994,286.149994,259.373199,24397515
2010-06-27,288.549988,297.250000,280.000000,282.350006,255.928818,20436740
2010-07-04,281.500000,296.899994,277.500000,295.799988,268.120209,16517243
2010-07-11,297.000000,325.500000,297.000000,319.549988,289.647736,42235988
2010-07-18,316.049988,331.000000,313.250000,322.500000,292.321747,23032306
2010-07-25,324.950012,325.399994,300.100006,301.399994,273.196167,32593570
2010-08-01,303.000000,321.000000,302.149994,307.700012,278.906586,22141420
2010-08-08,305.000000,324.950012,305.000000,322.500000,292.321747,28947280
2010-08-15,322.500000,335.000000,315.250000,333.799988,302.564331,24221199
2010-08-22,331.149994,336.750000,305.200012,306.850006,278.136200,25127770
2010-08-29,311.000000,315.399994,297.250000,313.250000,283.937317,22978897
2010-09-05,314.000000,323.649994,313.149994,322.000000,291.868561,12822449
2010-09-12,323.000000,358.649994,322.000000,352.500000,319.514465,39729378
2010-09-19,350.000000,367.500000,346.450012,365.250000,332.975647,29762817
2010-09-26,370.149994,393.399994,367.000000,388.100006,353.806641,38659390
2010-10-03,391.000000,397.500000,374.250000,382.649994,348.838226,29160699
2010-10-10,384.000000,393.000000,369.500000,373.899994,340.861420,23892448
2010-10-17,376.000000,381.350006,360.100006,363.399994,331.289154,19681064
2010-10-24,365.000000,374.350006,341.399994,350.700012,319.711365,22595389
2010-10-31,358.899994,364.399994,345.000000,356.149994,324.679779,18406284
2010-11-07,356.500000,366.399994,325.000000,327.200012,298.287872,21686614
2010-11-14,330.000000,330.000000,302.799988,307.950012,280.738831,20509106
2010-11-21,311.000000,322.799988,257.000000,287.399994,262.004761,41232752
2010-11-28,288.000000,325.299988,279.000000,306.649994,279.553711,39139084
2010-12-05,306.100006,314.899994,275.149994,282.049988,257.127380,38435032
2010-12-12,285.000000,296.350006,275.100006,281.799988,256.899506,25179926
2010-12-19,278.899994,289.450012,276.149994,284.049988,258.950714,19014918
2010-12-26,285.649994,295.000000,282.750000,291.950012,266.152649,13341274
2011-01-02,295.000000,298.500000,267.000000,268.899994,245.139389,17384637
2011-01-09,269.000000,271.700012,252.100006,259.299988,236.387665,28454066
2011-01-16,259.899994,259.899994,244.000000,251.550003,229.322479,23755786
2011-01-23,252.000000,260.299988,216.800003,222.300003,202.657074,24066153
2011-01-30,218.899994,246.899994,214.350006,237.100006,216.149323,76819673
2011-02-06,238.100006,249.550003,228.050003,247.649994,225.767105,43349386
2011-02-13,249.600006,252.949997,231.449997,232.850006,212.274872,27568607
2011-02-20,231.000000,233.000000,208.500000,212.600006,193.814194,30249893
2011-02-27,215.000000,229.199997,209.600006,222.500000,202.839417,24136469
2011-03-06,220.399994,231.449997,215.649994,225.199997,205.300827,17665447
2011-03-13,225.899994,229.000000,219.050003,219.949997,200.514709,13730575
2011-03-20,222.000000,250.899994,217.550003,249.100006,227.088989,24802955
2011-03-27,248.899994,273.899994,242.800003,271.950012,247.919891,29919439
2011-04-03,273.000000,274.700012,257.600006,259.299988,236.387665,25864818
2011-04-10,258.000000,258.850006,242.000000,244.850006,223.214508,29486534
2011-04-17,246.000000,250.399994,228.699997,247.250000,225.402451,24725772
2011-04-24,247.000000,248.350006,221.100006,222.800003,203.112900,28174609
2011-05-01,225.100006,229.899994,214.850006,219.500000,200.104477,24843145
2011-05-08,221.949997,234.899994,217.399994,232.949997,212.366028,22360177
2011-05-15,231.300003,232.000000,220.500000,228.399994,208.218063,16180030
2011-05-22,225.050003,227.600006,208.100006,225.199997,205.300827,36637728
2011-05-29,226.050003,241.149994,226.050003,233.699997,213.049744,20733384
2011-06-05,231.100006,237.699997,229.000000,231.050003,210.633911,17753353
2011-06-12,230.600006,234.500000,221.000000,224.550003,204.708267,16902598
2011-06-19,225.949997,226.399994,206.100006,216.399994,197.278412,29567649
2011-06-26,215.000000,221.100006,207.649994,220.300003,200.833817,54170379
2011-07-03,224.199997,242.500000,186.000000,237.149994,216.194870,40269095
2011-07-10,235.949997,239.899994,217.750000,233.050003,212.457184,27506577
2011-07-17,233.000000,245.949997,230.399994,241.050003,219.750275,32120869
2011-07-24,239.600006,247.899994,227.350006,231.000000,210.588348,34087426
2011-07-31,233.300003,237.800003,203.399994,210.250000,193.324203,31867622
2011-08-07,204.399994,211.800003,185.000000,200.199997,184.083237,44500402
2011-08-14,203.500000,204.399994,173.250000,186.899994,171.853912,48604247
2011-08-21,188.500000,190.000000,175.000000,176.100006,161.923386,28559660
2011-08-28,179.600006,209.899994,178.500000,207.850006,191.117401,20647364
