"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 12, 2018","217.70","215.00","218.25","210.15","6.11M","3.00%"
"Mar 09, 2018","211.35","220.30","220.55","210.00","5.14M","-3.23%"
"Mar 08, 2018","218.40","216.55","219.65","209.75","6.24M","1.37%"
"Mar 07, 2018","215.45","215.00","217.75","212.20","5.88M","-0.51%"
"Mar 06, 2018","216.55","224.40","226.65","214.05","6.14M","-2.85%"
"Mar 05, 2018","222.90","221.30","223.95","219.70","3.54M","-0.62%"
"Mar 01, 2018","224.30","225.55","228.25","223.15","3.58M","-0.86%"
"Feb 28, 2018","226.25","220.80","227.50","219.25","6.33M","1.71%"
"Feb 27, 2018","222.45","228.90","228.90","221.20","4.12M","-2.50%"
"Feb 26, 2018","228.15","227.30","230.00","224.25","4.59M","1.33%"
"Feb 23, 2018","225.15","220.20","225.80","220.05","4.45M","2.41%"
"Feb 22, 2018","219.85","219.35","222.10","218.25","6.93M","-0.52%"
"Feb 21, 2018","221.00","226.50","227.00","218.60","6.00M","-1.82%"
"Feb 20, 2018","225.10","223.65","227.50","221.50","5.76M","0.76%"
"Feb 19, 2018","223.40","224.90","225.50","218.25","7.98M","-1.00%"
"Feb 16, 2018","225.65","232.65","234.35","224.30","6.52M","-2.38%"
"Feb 15, 2018","231.15","233.00","235.40","227.85","5.42M","0.09%"
"Feb 14, 2018","230.95","239.70","239.70","229.70","8.09M","-1.20%"
"Feb 12, 2018","233.75","231.90","237.45","230.00","7.01M","2.05%"
"Feb 09, 2018","229.05","222.00","232.30","221.50","7.91M","-0.13%"
"Feb 08, 2018","229.35","225.90","233.70","225.35","8.20M","1.82%"
"Feb 07, 2018","225.25","229.00","232.00","223.00","9.50M","-0.09%"
"Feb 06, 2018","225.45","212.05","230.75","210.00","12.92M","-1.25%"
"Feb 05, 2018","228.30","218.40","231.60","214.00","10.37M","2.19%"
"Feb 02, 2018","223.40","240.00","242.30","204.50","16.90M","-8.82%"
"Feb 01, 2018","245.00","251.70","253.70","236.70","10.51M","-2.04%"
"Jan 31, 2018","250.10","253.05","257.60","247.55","6.31M","-1.50%"
"Jan 30, 2018","253.90","251.50","256.40","251.50","5.01M","-0.06%"
"Jan 29, 2018","254.05","255.10","260.25","250.75","5.91M","0.18%"
"Jan 25, 2018","253.60","256.95","261.50","252.55","5.92M","-2.07%"
"Jan 24, 2018","258.95","259.00","265.40","256.60","9.44M","-0.27%"
"Jan 23, 2018","259.65","250.60","262.20","250.60","9.05M","3.47%"
"Jan 22, 2018","250.95","250.50","253.10","245.60","5.03M","0.66%"
"Jan 19, 2018","249.30","249.00","252.75","245.55","6.51M","-0.36%"
"Jan 18, 2018","250.20","263.40","264.95","246.80","6.76M","-4.72%"
"Jan 17, 2018","262.60","258.70","263.65","249.75","7.90M","1.96%"
"Jan 16, 2018","257.55","268.25","268.40","256.00","5.90M","-3.49%"
"Jan 15, 2018","266.85","268.55","271.45","265.60","3.45M","-0.63%"
"Jan 12, 2018","268.55","270.75","272.15","262.35","5.84M","-0.72%"
"Jan 11, 2018","270.50","269.00","273.85","267.35","6.53M","0.43%"
"Jan 10, 2018","269.35","270.60","272.25","265.70","10.97M","-0.19%"
"Jan 09, 2018","269.85","260.90","271.40","258.25","13.14M","3.69%"
"Jan 08, 2018","260.25","260.80","262.70","258.15","3.95M","0.12%"
"Jan 05, 2018","259.95","258.35","265.25","257.60","7.24M","0.95%"
"Jan 04, 2018","257.50","258.25","260.20","255.55","4.12M","-0.31%"
"Jan 03, 2018","258.30","254.00","261.90","254.00","7.34M","1.73%"
"Jan 02, 2018","253.90","258.45","259.70","251.40","5.50M","-1.09%"
"Jan 01, 2018","256.70","259.45","262.45","255.20","4.94M","-1.02%"
"Dec 29, 2017","259.35","265.10","266.40","257.00","13.76M","-1.69%"
"Dec 28, 2017","263.80","248.80","266.80","247.50","21.26M","6.24%"
"Dec 27, 2017","248.30","253.85","256.40","245.75","9.14M","-1.95%"
"Dec 26, 2017","253.25","245.25","256.20","245.25","15.59M","3.26%"
"Dec 22, 2017","245.25","244.50","247.50","243.60","6.91M","0.74%"
"Dec 21, 2017","243.45","245.50","247.70","242.80","8.16M","-0.73%"
"Dec 20, 2017","245.25","233.50","249.00","233.50","16.69M","4.79%"
"Dec 19, 2017","234.05","233.25","234.90","230.55","3.50M","1.08%"
"Dec 18, 2017","231.55","225.00","235.95","220.95","9.43M","-0.06%"
"Dec 15, 2017","231.70","230.10","233.90","230.10","4.08M","1.80%"
"Dec 14, 2017","227.60","228.80","230.55","222.65","7.65M","-0.09%"
"Dec 13, 2017","227.80","233.15","236.35","225.85","7.12M","-2.61%"
"Dec 12, 2017","233.90","236.95","239.00","232.45","4.86M","-2.30%"
"Dec 11, 2017","239.40","239.15","242.45","237.25","6.52M","0.42%"
"Dec 08, 2017","238.40","240.00","241.80","237.45","7.84M","-0.48%"
"Dec 07, 2017","239.55","232.00","240.35","231.25","10.57M","3.54%"
"Dec 06, 2017","231.35","228.95","234.65","228.20","8.85M","0.46%"
"Dec 05, 2017","230.30","228.60","232.00","227.70","7.96M","0.57%"
"Dec 04, 2017","229.00","229.00","232.65","223.75","11.46M","1.37%"
"Dec 01, 2017","225.90","237.00","237.40","221.70","8.26M","-3.15%"
"Nov 30, 2017","233.25","227.75","234.90","227.30","10.98M","1.68%"
"Nov 29, 2017","229.40","230.80","231.80","226.55","6.88M","-0.30%"
